No,X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,Y house price of unit area
1,32.0,84.87882,12.0,45.48
2,23.4,306.5947,9.0,42.2
3,13.3,674.3814,5.0,47.3
4,13.3,561.9845,5.0,43.84
5,5.0,390.5684,4.0,43.1
6,7.1,1740.0240000000003,3.0,38.52
7,34.5,623.4731,7.0,40.3
8,20.3,287.6025,6.0,37.36000000000001
9,31.7,5512.038,1.0,18.8
10,17.9,1783.18,3.5999999999999996,17.680000000000003
11,34.8,405.2134,1.0,41.4
12,6.3,90.45606,9.0,58.1
13,13.0,393.78504,5.0,39.3
14,20.4,2469.645,4.8,23.8
15,10.56,1164.838,4.0,34.3
16,42.84,463.36664,1.6,40.400000000000006
17,0.0,292.9978,6.0,84.11999999999999
18,21.24,350.8515,1.0,29.92
19,16.9,368.1363,9.6,50.76
20,1.5,23.38284,5.6000000000000005,57.24
21,3.6,2731.0524,3.0,29.3
22,8.4,279.1726,7.0,51.6
23,14.7,1360.139,1.0,29.52
24,8.08,279.1726,7.0,47.9
25,39.6,480.6977,4.0,46.559999999999995
26,29.3,1190.2944,2.0,32.4
27,3.1,383.8624,5.0,56.2
28,10.4,331.7388,4.0,33.6
29,19.2,557.478,4.0,47.0
30,7.1,541.49256,6.0,45.68000000000001
31,20.72,4519.69,0.0,26.52
32,29.6,769.4034,7.0,30.0
33,37.9,390.85816,1.0,34.2
34,16.5,323.655,7.199999999999999,39.44
35,15.4,205.367,8.4,55.1
36,13.9,4079.418,0.0,27.3
37,14.7,1935.009,2.0,22.9
38,12.0,1360.139,1.0,25.3
39,3.1,577.9615,6.0,47.7
40,12.96,289.3248,5.0,55.440000000000005
41,13.6,4082.015,0.0,15.9
42,16.8,4066.587,0.0,18.2
43,28.880000000000003,415.56935999999996,4.0,27.760000000000005
44,34.4,615.34452,7.199999999999999,34.1
45,2.16,640.17144,4.0,53.9
46,36.6,488.8193,8.0,45.959999999999994
47,21.7,463.9623,7.2,50.4
48,43.08,512.59128,3.5999999999999996,61.5
49,29.04,4605.749,0.0,13.4
50,29.4,3608.2872000000007,1.0,13.2
51,21.7,512.5487,3.2,44.2
52,31.3,2110.0872,0.8,20.7
53,32.1,1438.579,3.5999999999999996,27.0
54,13.3,492.2313,5.0,38.9
55,16.1,289.3248,4.0,51.7
56,31.7,1392.7584,0.0,16.439999999999998
57,33.6,371.2495,9.6,33.52
58,3.5,67.7691,7.0,42.800000000000004
59,30.3,4510.359,1.0,22.6
60,10.64,268.84256,5.0,42.4
61,8.8,1544.9656000000002,2.0,25.56
62,5.3,207.72856000000002,6.0,63.2
63,17.2,2175.877,3.0,27.7
64,3.12,640.17144,4.0,66.0
65,17.5,995.7554,0.0,25.3
66,40.1,148.49148,9.6,44.3
67,1.2,193.5845,4.800000000000001,40.56
68,10.2,125.77212,4.0,56.8
69,30.4,464.223,7.199999999999999,36.2
70,12.5,561.9845,6.0,42.0
71,7.919999999999999,72.364848,7.2,70.8
72,35.5,640.7391,3.0,40.8
73,39.0,339.63536,8.0,43.559999999999995
74,13.8,4082.015,0.0,24.0
75,6.8,379.5575,10.0,54.4
76,12.3,1360.139,1.0,23.6
77,28.72,493.12032,3.0,44.16
78,20.5,2185.128,2.4000000000000004,20.480000000000004
79,38.2,662.9245199999999,2.0,35.76
80,18.0,1131.8696,1.0,21.200000000000003
81,11.8,533.4762,4.0,40.3
82,30.8,377.7956,6.0,36.8
83,13.2,181.12163999999999,5.6000000000000005,38.480000000000004
84,25.3,2707.392,3.0,17.7
85,15.1,383.2805,8.4,52.440000000000005
86,0.0,338.9679,9.0,50.8
87,2.16,1455.798,1.2,27.0
88,13.52,4066.587,0.0,18.3
89,10.68,1687.7160000000001,0.0,48.0
90,23.0,3947.945,0.0,25.3
91,0.0,328.81728000000004,1.2,54.48
92,9.1,1402.016,0.0,43.2
93,20.6,2469.645,4.0,21.8
94,25.52,1375.5947999999999,0.0,19.32
95,40.9,167.5989,5.0,49.199999999999996
96,8.0,104.8101,4.0,51.8
97,7.68,90.45606,9.0,59.5
98,28.4,617.4424,2.4000000000000004,34.6
99,16.4,289.3248,5.0,51.0
100,6.4,90.45606,7.2,62.2
101,17.5,964.7496,4.8,38.2
102,12.7,136.10312,1.0,26.32
103,1.1,193.5845,6.0,54.4
104,0.0,208.3905,6.0,45.7
105,32.7,313.95672,4.800000000000001,36.6
106,0.0,292.9978,6.0,71.0
107,13.76,227.42172,9.6,47.1
108,9.76,1360.139,0.8,26.6
109,31.4,592.5006,1.6,40.92
110,4.0,2147.376,3.0,22.72
111,6.48,104.8101,5.0,61.92
112,33.3,196.6172,8.4,39.4
113,9.9,2102.427,3.0,23.1
114,14.8,393.2606,6.0,9.12
115,30.6,143.8383,8.0,63.959999999999994
116,16.48,590.33288,2.0,46.4
117,30.9,6396.283,1.0,9.76
118,13.6,4197.349,0.0,13.0
119,25.3,1583.722,3.0,24.480000000000004
120,19.92,289.3248,5.0,59.6
121,15.96,393.78504,5.0,31.3
122,13.6,492.2313,5.0,48.0
123,31.5,414.9476,4.0,32.5
124,0.0,148.34368,0.0,45.5
125,11.88,279.1726,8.4,45.92
126,1.1,154.8676,6.0,48.6
127,30.880000000000003,804.6897,4.0,50.32
128,4.56,383.8624,6.0,55.0
129,41.3,124.9912,7.199999999999999,60.7
130,46.199999999999996,216.8329,7.0,41.0
131,35.52,535.527,8.0,37.5
132,4.0,2147.376,3.0,36.839999999999996
133,26.6,482.7581,5.0,45.0
134,18.0,373.3937,8.0,39.5
135,40.08,186.9686,4.800000000000001,42.2
136,18.9,1009.235,0.0,20.8
137,13.68,390.5684,4.0,46.8
138,13.6,319.0708,7.199999999999999,56.879999999999995
139,8.0,753.9731200000001,0.0,43.5
140,10.32,492.2313,4.0,42.5
141,16.2,289.3248,6.0,41.120000000000005
142,5.1,1559.827,2.4000000000000004,23.12
143,19.8,512.48568,5.0,37.5
144,13.6,492.2313,6.0,40.1
145,11.9,1632.1667999999997,1.0,28.4
146,2.1,451.2438,6.0,36.4
147,0.0,185.4296,0.0,52.2
148,3.2,489.8821,8.0,43.2
149,16.4,3780.59,0.0,54.12
150,27.92,179.4538,8.0,39.7
151,35.8,170.7311,5.6000000000000005,48.5
152,4.9,387.7721,7.2,44.7
153,12.0,1632.1667999999997,1.0,23.12
154,6.5,376.1709,6.0,40.9
155,16.9,3253.2696,0.0,20.7
156,13.8,4082.015,0.0,18.72
157,30.7,1264.73,0.0,18.3
158,19.32,815.9314,4.0,28.480000000000004
159,9.28,390.5684,5.0,39.4
160,15.5,652.74512,4.0,37.4
161,3.5,49.66105,8.0,57.8
162,19.2,616.4004,3.0,39.6
163,16.0,4879.904399999999,0.0,11.6
164,8.5,104.8101,5.0,55.5
165,0.0,185.4296,0.0,55.2
166,16.439999999999998,1236.564,1.0,24.480000000000004
167,0.0,351.59736,4.800000000000001,73.6
168,28.2,396.10247999999996,8.0,43.4
169,33.12,618.13464,5.0,37.4
170,8.4,2355.1535999999996,1.0,23.5
171,24.0,4527.687,0.0,14.4
172,4.32,383.8624,5.0,58.8
173,6.6,90.45606,7.2,58.1
174,41.3,321.50456,4.0,42.12
175,3.44,432.0385,7.0,45.2
176,24.16,472.1745,3.0,43.8
177,13.9,4573.779,0.0,15.36
178,33.0,181.0766,9.0,42.0
179,10.48,1144.436,4.0,36.7
180,16.8,438.8513,0.8,42.6
181,26.9,3559.4160000000006,0.0,12.4
182,11.6,201.8939,6.4,55.9
183,13.5,2576.8512,3.5999999999999996,23.6
184,13.600000000000001,4082.015,0.0,18.8
185,11.280000000000001,3138.558,0.0,26.16
186,31.4,1157.8288,3.0,21.5
187,20.9,2185.128,3.0,25.7
188,7.120000000000001,3078.176,0.0,22.0
189,27.84,190.0392,8.0,44.3
190,16.3,4066.587,0.0,20.5
191,35.3,493.2588,8.0,42.3
192,13.2,600.05632,2.0,37.8
193,52.559999999999995,46.071560000000005,7.0,51.24
194,9.7,421.479,6.0,39.44
195,12.16,3771.895,0.0,23.44
196,15.2,461.1016,5.0,41.52
197,22.8,707.9067,2.4,29.28
198,27.52,126.7286,9.6,48.2
199,34.0,126.08416,7.0,31.28
200,18.2,451.6419,8.0,31.6
201,17.4,796.60432,0.0,25.5
202,13.1,561.9845,5.0,45.9
203,38.3,514.1588,2.4000000000000004,25.200000000000003
204,18.72,231.45983999999999,5.0,55.32
205,18.0,1414.837,1.0,26.6
206,12.8,1159.7776000000001,3.0,21.4
207,26.639999999999997,303.646,10.0,44.0
208,38.5,798.0763199999999,3.0,34.2
209,13.799999999999999,1088.1112,1.0,31.439999999999998
210,27.84,175.6294,8.0,40.9
211,4.16,390.5684,5.0,52.2
212,0.0,328.81728000000004,0.8,43.5
213,17.6,1805.665,2.4,31.1
214,7.4399999999999995,90.45606,9.0,58.0
215,18.1,1783.18,3.5999999999999996,20.9
216,15.36,383.7129,8.0,48.1
217,37.8,590.9292,1.2,39.7
218,22.400000000000002,372.6242,6.0,40.8
219,13.6,393.78504,5.0,43.8
220,29.3,529.7771,9.6,40.2
221,37.2,149.20808,9.0,78.3
222,9.0,1402.016,0.0,38.5
223,30.6,517.33368,10.0,38.800000000000004
224,9.1,1402.016,0.0,42.3
225,27.6,259.95351999999997,4.800000000000001,46.0
226,0.8800000000000001,154.8676,6.0,39.2
227,16.5,4082.015,0.0,12.8
228,32.4,265.0609,8.0,40.2
229,11.9,3171.329,0.0,46.6
230,31.0,1387.6944,0.0,19.0
231,4.0,2147.376,3.0,33.4
232,16.2,3259.7888000000003,0.0,17.639999999999997
233,27.1,3530.2120000000004,1.0,17.4
234,31.760000000000005,266.69432,9.0,32.4
235,8.0,2659.9344,4.0,19.12
236,10.32,200.50480000000002,7.0,39.3
237,4.32,299.07112,10.0,61.9
238,15.6,586.28224,0.0,31.200000000000003
239,12.8,732.8528,0.0,32.480000000000004
240,18.1,1005.2679599999999,0.0,29.7
241,13.2,1370.1056,1.6,28.8
242,13.7,300.7572,7.0,41.4
243,2.0,2077.39,3.0,33.4
244,39.35999999999999,204.1705,8.0,48.2
245,4.8,1559.827,3.0,21.7
246,7.5,639.6198,4.0,32.64
247,16.4,389.8219,7.199999999999999,40.6
248,21.7,1055.067,0.0,18.48
249,19.0,1211.0819999999999,0.0,26.76
250,18.0,6306.153,0.8,15.0
251,47.04,424.7132,7.0,36.0
252,31.7,1391.3447999999999,0.0,13.8
253,5.9,72.364848,9.0,52.7
254,24.32,1735.595,2.4,25.9
255,0.8800000000000001,395.96963999999997,4.0,51.8
256,31.5,5512.038,0.8,17.4
257,17.52,339.2289,1.0,26.5
258,20.76,444.1334,1.0,43.9
259,0.0,234.39824,6.0,63.3
260,21.24,837.7233,0.0,28.8
261,20.4,1485.097,4.0,30.7
262,12.96,2288.011,3.0,19.52
263,12.72,347.18976,5.0,42.400000000000006
264,3.9,2147.376,3.0,31.7
265,32.6,592.3883999999999,5.6000000000000005,40.6
266,18.84,979.1176800000001,4.8,45.72
267,17.8,1783.18,3.5999999999999996,28.439999999999998
268,34.7,482.7581,6.0,41.1
269,17.2,390.5684,5.0,32.080000000000005
270,17.6,670.1786400000001,0.0,23.0
271,10.8,202.06576,1.0,117.5
272,21.24,451.6419,9.6,31.799999999999997
273,13.0,492.2313,5.0,32.4
274,13.2,170.1289,1.0,29.3
275,27.5,394.0173,7.0,32.800000000000004
276,1.7999999999999998,23.38284,7.0,59.64
277,19.1,368.88128000000006,6.0,34.0
278,21.2,1748.1024000000002,3.0,27.7
279,0.0,208.3905,6.0,44.0
280,3.12,1243.4,3.0,31.1
281,2.76,221.19624,6.0,45.4
282,5.64,387.7721,9.0,44.8
283,2.0,1455.798,1.0,25.6
284,33.5,1978.671,2.0,28.2
285,15.0,383.2805,7.0,34.4
286,30.1,574.63496,2.4000000000000004,55.3
287,7.08,90.45606,7.2,67.55999999999999
288,19.2,553.32192,4.0,32.9
289,13.280000000000001,323.6912,6.0,51.0
290,11.120000000000001,347.18976,6.0,44.5
291,37.7,490.3446,0.0,29.6
292,3.4,56.47425,5.6000000000000005,43.52
293,17.5,395.6747,6.0,24.5
294,12.6,383.2805,7.0,42.5
295,26.4,268.42184000000003,6.0,38.1
296,21.84,2179.59,3.0,21.8
297,12.5,1144.436,4.0,27.28
298,27.92,453.62792,4.8,34.199999999999996
299,16.7,4082.015,0.0,16.7
300,26.560000000000002,146.07144,12.0,46.1
301,2.5,124.99536,4.0,36.9
302,38.0,461.7848,0.0,35.7
303,16.5,2288.011,2.4000000000000004,23.2
304,38.3,439.7105,0.0,38.4
305,16.0,1626.083,3.0,35.279999999999994
306,12.96,289.3248,5.0,44.0
307,14.4,203.97636,1.0,50.2
308,8.24,3079.89,0.0,19.76
309,19.679999999999996,289.3248,6.0,53.0
310,30.3,1264.73,0.0,19.1
311,16.4,1643.499,2.0,24.7
312,17.040000000000003,537.7971,3.2,33.760000000000005
313,28.32,318.5292,9.0,78.0
314,8.3,104.8101,5.0,42.8
315,3.7,462.36920000000003,6.0,41.6
316,15.6,1756.411,2.0,27.3
317,13.3,200.50480000000002,7.0,42.0
318,15.6,602.21352,2.0,30.0
319,7.1,379.5575,10.0,49.8
320,34.6,272.6783,6.0,26.9
321,13.5,3357.8792000000003,0.0,14.880000000000003
322,16.9,964.7496,4.0,37.7
323,12.9,187.4823,1.0,33.1
324,22.880000000000003,197.1338,6.0,42.5
325,14.879999999999999,1370.1056,1.6,31.3
326,36.6,488.8193,8.0,38.1
327,4.1,56.47425,5.6000000000000005,49.68000000000001
328,4.2,757.3377,3.0,36.7
329,12.72,1797.2556,3.0,23.6
330,10.88,4197.349,0.0,19.2
331,32.0,1388.1324,0.0,12.8
332,25.6,4519.69,0.0,15.6
333,47.76,617.7134,2.4,39.6
334,9.36,104.8101,4.0,38.4
335,36.0,1013.341,5.0,22.8
336,27.3,337.6016,6.0,36.5
337,6.119999999999999,2240.6796,2.0,28.480000000000004
338,31.3,721.03248,5.0,30.9
339,31.5,258.186,9.0,36.3
340,1.36,395.96963999999997,5.0,50.4
341,26.880000000000003,216.7116,0.0,42.9
342,13.0,600.05632,1.6,44.4
343,5.7,90.45606,9.0,53.5
344,40.199999999999996,450.62832000000003,8.0,46.6
345,34.6,3702.2039999999997,0.0,41.2
346,0.0,185.4296,0.0,37.9
347,13.2,1712.632,2.0,36.96
348,17.4,6488.021,1.2,13.44
349,4.6,311.59284,6.0,53.7
350,7.8,104.8101,5.0,47.0
351,13.2,492.2313,5.0,50.76
352,4.0,2180.245,2.4000000000000004,28.6
353,18.4,2674.961,3.0,30.839999999999996
354,3.28,1717.9008000000003,3.0,31.3
355,12.2,1360.139,1.0,30.1
356,3.04,460.63487999999995,5.0,72.84
357,10.3,211.4473,1.0,45.3
358,0.0,338.9679,9.0,44.9
359,1.1,193.5845,4.800000000000001,54.12
360,5.6,2408.993,0.0,24.7
361,32.9,69.84177600000001,10.0,37.68
362,49.68,337.44599999999997,8.0,75.96
363,20.52,967.4,4.0,40.0
364,32.3,131.9346,10.0,48.0
365,35.3,614.1394,7.0,26.480000000000004
366,20.76,2261.432,4.0,23.6
367,14.2,1801.544,0.8,24.8
368,15.0,2193.9827999999998,2.0,25.08
369,18.2,350.8515,1.2,43.1
370,20.2,2622.1536,3.0,18.240000000000002
371,15.9,289.3248,5.0,42.1
372,4.1,312.8963,4.0,51.7
373,27.12,157.6052,7.0,41.5
374,0.0,328.81728000000004,1.2,62.64
375,6.48,312.45472,5.0,59.4
376,21.7,1389.5856,0.0,23.8
377,14.7,1717.193,1.6,36.6
378,3.12,59.59326,9.6,56.8
379,37.3,587.8877,9.6,37.4
380,0.0,292.9978,6.0,69.7
381,14.1,289.3248,5.0,53.3
382,6.4,106.03752,7.2,47.3
383,19.56,3529.564,0.0,23.44
384,29.1,607.33728,4.8,40.3
385,12.880000000000003,4066.587,0.0,12.9
386,21.96,82.88643,10.0,46.6
387,0.0,222.51551999999998,0.0,44.24
388,16.2,2103.555,3.0,25.6
389,10.4,1801.5504,4.0,27.3
390,40.9,122.3619,8.0,67.7
391,32.8,377.8302,9.0,46.32
392,7.4399999999999995,1939.749,0.8,37.56
393,42.7,443.802,4.800000000000001,35.3
394,16.9,967.4,4.0,40.3
395,32.6,4136.271,1.0,24.7
396,21.2,512.5487,4.0,42.5
397,37.1,918.6357,1.0,38.279999999999994
398,13.1,1164.838,4.0,32.2
399,14.7,1717.193,1.6,23.0
400,12.7,136.10312,1.0,29.84
401,32.16,482.7581,5.0,42.6
402,7.6,2175.03,3.5999999999999996,33.239999999999995
403,10.16,187.4823,0.8,22.8
404,30.9,161.942,9.0,39.7
405,13.12,289.3248,5.0,41.2
406,23.0,130.9945,6.0,44.64
407,1.52,297.71088000000003,5.6000000000000005,40.5
408,4.16,2408.993,0.0,22.3
409,18.5,2175.744,3.0,22.480000000000004
410,13.7,4082.015,0.0,12.32
411,5.6,108.54727199999999,9.0,60.0
412,18.8,390.9696,7.0,40.6
413,9.719999999999999,104.8101,5.0,52.5
414,7.8,90.45606,9.0,63.9
